id,nome,descricao,imagens,nivel,tipo,destaque,repositorio
1,Pokédex,"Criado com o objetivo de treinar minhas capacidades em React e fornecer uma ferramenta prática com os dados dos Pokémons da 1ª geração. Com este aplicativo, é possível visualizar alguns detalhes incluindo tipos, habilidades e golpes disponíveis para cada um.",,3,web,true,https://github.com/diogo-tcardoso/quest-pokedex
2,One Piece Landing Page,"Projeto de landing page simples onde podemos consultar os dados de alguns personagens de Onde Piece clicando em seu botão específico, fazendo a transição de cada página de modo suave.",,2,web,true,https://github.com/diogo-tcardoso/one-piece-website
3,Huddle Landing Page,Projeto criado para prática e aperfeiçoamento do CSS3,,1,web,false,https://github.com/diogo-tcardoso/huddle-landing-page
4,Profile Card Component,Projeto para prática de Flexbox e responsividade,,1,web,false,https://github.com/diogo-tcardoso/profile-card-component
5,Acordeon,Projeto simples para prática na criação de menu estilo acordeon,,1,web,false,https://github.com/diogo-tcardoso/exercise-acordeon
6,Advice Generator App,Projeto de uma aplicação consumindo API e gerando e mudando os conselhos através do clique de um botão,,2,web,true,https://github.com/diogo-tcardoso/advice-generator-app
